duration_secs	eye_contact	time_losing_contact	number_losing	num_preslook	num_fillerwords
-					
-0.279	-	***	***	*	
0.229	-0.955	-	***	**	
0.1	-0.692	0.699	-	***	
0.144	-0.493	0.51	0.642	-	
0.354	-0.152	0.2	-0.224	0.021	-
