participant,accuracy,rt
12001.0,1,1.05344609986059
12001.0,1,1.50492039974779
12001.0,1,0.536920299753547
12001.0,1,0.47326589981094
12001.0,1,0.451311799930409
12001.0,1,0.511539299972355
12001.0,1,0.816252199932933
12001.0,1,0.597029999829829
12001.0,1,0.564113399945199
12001.0,1,0.563592999940738
12001.0,1,0.474096199730411
12001.0,1,0.645493400050327
12001.0,1,0.544213499873877
12001.0,1,0.520143299829215
12001.0,1,0.56162039982155
12001.0,1,0.552327199839056
12001.0,1,0.447644599946216
12001.0,1,0.499799499753863
12001.0,1,0.510137199889868
12001.0,1,0.750792299862951
12001.0,1,0.502460799878463
12001.0,1,0.576655799988657
12001.0,1,0.391537700081244
12001.0,1,0.452774500008672
12001.0,1,0.408993799937889
12001.0,1,0.381731699919328
12001.0,1,0.860373499803245
12001.0,1,0.655412999913096
12001.0,1,0.547178899869323
12001.0,1,0.50721999979578
12001.0,1,0.451853999868035
12001.0,1,0.438714799936861
12001.0,1,0.467120799934492
12001.0,1,0.429987200070172
12001.0,1,0.515967499930412
12001.0,1,0.509204599773511
12001.0,1,0.485678700031713
12001.0,1,0.591526800068095
12001.0,1,0.390587199945003
12001.0,1,0.540507999947295
12002.0,1,1.14264809992164
12002.0,1,0.66222279984504
12002.0,1,0.464760799892247
12002.0,1,0.500400600023568
12002.0,1,0.583138700108975
12002.0,1,0.660328299971297
12002.0,1,0.472886900184676
12002.0,1,0.459605399984866
12002.0,1,0.509633200010285
12002.0,1,0.479252299992368
12002.0,1,0.698716000188142
12002.0,1,0.644875300116837
12002.0,1,0.656318600056693
12002.0,1,0.531487700063735
12002.0,1,0.635822199983522
12002.0,1,0.696124500129372
12002.0,1,0.681669299956411
12002.0,1,0.604919800069183
12002.0,1,0.617269199807197
12002.0,1,0.462577799800783
12002.0,1,0.465987300034612
12002.0,1,0.606072700116783
12002.0,1,0.63405800005421
12002.0,1,0.607874499866739
12002.0,1,0.556337299989536
12002.0,1,0.675393400015309
12002.0,1,0.525825300021097
12002.0,1,0.503849599976093
12002.0,1,0.703511600149795
12002.0,1,0.600709500024095
12002.0,1,0.638435299973935
12002.0,1,0.425724999979138
12002.0,1,0.647404100047424
12002.0,1,0.586350799771026
12002.0,1,0.633704999927431
12002.0,1,0.468448300147429
12002.0,1,0.527107700007036
12002.0,1,0.615755900042132
12002.0,0,0.39823539997451
12002.0,1,0.644900200190023
12003.0,1,1.53673829999752
12003.0,0,-0.12823610000487
12003.0,1,-0.0882180000044172
12003.0,0,-0.483095300005516
12003.0,1,-0.373316700002761
12003.0,0,-0.222965500004648
12003.0,0,-0.744516400001885
12003.0,0,0.382240300001286
12003.0,0,-0.946802100006607
12003.0,1,0.564371100001154
12003.0,0,-0.0212281999993138
12003.0,1,-0.0154899000044679
12003.0,1,-0.0157373000038205
12003.0,1,-0.194505900006334
12003.0,0,-0.0361548000000766
12003.0,1,-0.0613142000001971
12003.0,1,-0.133337200000824
12003.0,1,-0.560020400000212
