Variable;type/group;Expected mean diffs are normal distributed;mean;std;median;Q1;Q3
Reaction time;students;True;0.5485006790356088;0.14499042292146425;0.519979482058261;0.446968815236687;0.616960614828713
Reaction time;senior academics;True;0.6072420942654472;0.1527561396778304;0.576010650023818;0.502023275013926;0.6848561000151675
